month,temperature1,sd1,empty,temperature2,sd2
Jan.,21.1,0.446468394239895,NA,16.4806451612903,0.427611034317562
Feb.,21.3,0.440720652882924,NA,16.3481481481482,0.482562888145254
Mar.,21.5,0.470392932478921,NA,16.4774193548387,0.579047982534266
Apr.,21.8,0.554376526679597,NA,18.27,1.26521407938209
May,23.4,0.725913970530849,NA,21.1290322580645,1.08484978843873
Jun.,25.5,1.20099958368019,NA,22.9466666666667,1.01840834420951
Jul.,28.6,0.491340200378317,NA,26.5774193548387,1.15499188027291
Aug.,28.8,0.545914730356289,NA,28.4903225806452,0.469972434819442
Sep.,28.5,0.375442853318878,NA,27.7172413793103,0.793538111775028
Oct.,26.6,0.893414453686636,NA,24.3677419354839,1.04523098134836
Nov.,24.7,0.516225618202825,NA,21.56,0.928295929826978
Dec.,22.8,0.71953563473716,NA,19.1322580645161,0.893123224808888
